Package,Built
assertthat,3.5.1
backports,3.5.0
base64enc,3.5.0
BH,3.5.0
bindr,3.5.1
bindrcpp,3.5.1
bitops,3.5.0
broom,3.5.1
callr,3.5.1
caTools,3.5.1
cellranger,3.5.1
cli,3.5.1
clipr,3.5.1
clisymbols,3.5.1
colorspace,3.5.1
crayon,3.5.1
curl,3.5.1
DBI,3.5.1
dbplyr,3.5.1
desc,3.5.1
devtools,3.5.1
digest,3.5.1
dplyr,3.5.1
evaluate,3.5.1
fansi,3.5.1
forcats,3.5.1
fs,3.5.1
ggplot2,3.5.1
gh,3.5.1
git2r,3.5.1
glue,3.5.1
gtable,3.5.1
haven,3.5.1
here,3.5.1
highr,3.5.1
hms,3.5.1
htmltools,3.5.1
httr,3.5.1
ini,3.5.1
jsonlite,3.5.1
knitr,3.5.1
labeling,3.5.0
lazyeval,3.5.1
lubridate,3.5.1
magrittr,3.5.1
markdown,3.5.1
memoise,3.5.1
mime,3.5.0
modelr,3.5.1
munsell,3.5.1
openssl,3.5.1
pillar,3.5.1
pkgconfig,3.5.1
plogr,3.5.1
plyr,3.5.1
processx,3.5.1
pryr,3.5.1
ps,3.5.1
purrr,3.5.1
R6,3.5.1
RColorBrewer,3.5.0
Rcpp,3.5.1
readr,3.5.1
readxl,3.5.1
rematch,3.5.1
reprex,3.5.1
reshape2,3.5.1
rlang,3.5.1
rmarkdown,3.5.1
rprojroot,3.5.1
rstudioapi,3.5.1
rvest,3.5.1
scales,3.5.1
selectr,3.5.1
stringi,3.5.0
stringr,3.5.1
tibble,3.5.1
tidyr,3.5.1
tidyselect,3.5.1
tidyverse,3.5.1
tinytex,3.5.1
translations,3.5.1
usethis,3.5.1
utf8,3.5.1
viridisLite,3.5.1
whisker,3.5.1
withr,3.5.1
xfun,3.5.1
xml2,3.5.1
yaml,3.5.1
